,GSM4171496,GSM4171497,GSM4171499,GSM4171514,GSM4171517,GSM4171521,GSM4171522,GSM4171524,GSM4171527,GSM4171530,GSM4171531,GSM4171535,GSM4171536,GSM4171541,GSM4171543,GSM4171546,GSM4171560,GSM4171564,GSM4171572,GSM4171574,GSM4171578,GSM4171584
KIF21A,7.51742855043363,6.58755021198107,7.23815299144438,7.22854115739426,6.62798232632086,7.01839272720603,6.56039649810199,6.9075890521813,7.07642288194247,8.24024708617564,3.35725164867839,8.04921104297633,6.31969851131323,7.58053360665438,7.7143300871353,5.70874583585452,7.55622806516456,6.35144777866807,6.82451212930826,6.38881201512683,6.1611899130077,6.31653517664377
KIF21B,5.84793790937461,5.50431669430757,4.85604037722578,5.97243228258009,5.40916038268219,6.1086501919704,5.60731321656497,5.45690212623991,5.05972453298367,5.20186297844775,5.78732817053343,5.27827745015698,5.57465301125044,5.51690594668315,5.244366315098,5.57385227930863,5.57252278445839,5.00681675950657,5.18543673928767,5.32738551587146,5.92565912518538,5.21325912088005
KIF22,6.99542447943603,7.38583390942864,7.80107287455664,8.11920931923552,7.16848747332407,7.28659587731369,7.90729069027382,6.4717837911023,7.09661012045075,6.60833601711766,7.33338755885191,6.51308973507232,7.98452484174953,7.53841858609035,7.09182997592161,5.82338063531588,6.9291380537692,6.90500965169997,7.2874573397442,6.85175891475455,5.94977312611707,6.37369184039353
KIF23,8.31439961396013,7.83936778241463,6.68397031443318,6.96818392038808,6.58990971313804,6.29728742488265,6.26729077508675,5.27396880101821,3.70926818874301,6.6709469522892,6.71319527579263,8.02659602781743,6.93987833050257,7.46086390192423,7.04600855303916,3.53289959399093,5.68925667456667,3.44764985142145,7.82549017552865,7.09962100396783,4.48773492427531,4.0367390928965
KIF23-AS1,3.67239139073583,4.10119416399933,3.82179088701377,3.58314101550258,3.93443099405284,3.90131353436884,4.16985709732043,3.95190311736277,3.8605438908973,4.16272577136792,4.21113683190066,4.14562703385885,3.84554464475593,3.77136854081084,3.93411791317808,4.03566155082782,3.63422872000144,3.75019444795939,3.96827694883862,4.14433026527335,3.83077109697203,4.31931748700455
KIF24,2.3712372798712,2.30896286718741,2.37239089151712,2.38984287323411,2.26675789073843,2.60296231105256,2.59447193870907,2.29487265745455,2.37446507081582,2.27299173603613,2.20491053194742,2.56149096083685,2.36504452011993,2.41600589830745,2.49084697135848,2.2747806845259,2.41603525798282,2.37854938905704,2.31196388966859,2.3642855347117,2.163884343191,2.37732951415378
KIF25,5.21720483138251,5.33912898171559,5.2946578252585,5.0840227013553,4.99420972574588,5.11636069999944,4.86518243052621,4.76686716917144,5.03474714930747,4.81358677913231,5.09376769118356,4.82204315798782,4.88665182544097,5.2384164959824,4.76998631155815,5.18625291521225,4.97472305174796,5.39331331179441,4.98312904919106,5.06585589571616,6.01430055648563,5.23516036316412
KIF25-AS1,5.03989662109544,8.22894002196082,5.07099688140576,5.16912217530998,5.06763469326251,5.10645599754442,5.32758188888547,5.01633386106384,5.04472860969761,4.98233838182493,5.18058253665373,5.02298101716342,5.06791084372967,5.12943648371625,5.07721035134397,5.05097813374892,5.07265833849384,5.01105182670654,5.06353386238859,5.18108336579514,5.04777523042281,5.08225311250607
KIF26A,5.70851923043821,6.84375880341964,6.4319272516122,4.74010607881469,5.04771238442979,6.87090157989302,5.41644082566369,6.03747379532374,5.42568755769963,5.32375238673753,5.05129003050443,6.00264102683873,5.14717261688984,6.39698480736189,5.40707703496036,6.25882731917454,5.6371711285902,6.17584236187822,5.54292424286768,5.16981170526859,6.0528074736179,6.52363940218988
KIF26B,4.62603426042872,4.64086492034435,6.6878889490141,5.16719739058874,7.10448916439391,4.63159159738256,6.72334393637828,4.37521829570183,6.81244366875463,7.80301361950189,7.81283118894123,8.02473337967424,6.10793887688037,7.02923014054821,6.78148892573873,7.01342024572563,6.59152204375052,4.69991047752737,6.64635048902193,7.81283118894123,4.36527832487546,4.42917020434606
